Type,A,B,C
Cevennes,18.636,15.683,38.747
Cevennes,18.59,15.66,38.62
Cevennes,18.596,15.674,38.715
Cevennes,18.606,15.685,38.693
Cevennes,18.572,15.678,38.683
Cevennes,18.554,15.676,38.677
Cevennes,18.42,15.64,38.49
Cevennes,18.43,15.65,38.56
Cevennes,18.4,15.63,38.49
Cevennes,18.38,15.63,38.55
Cevennes,18.38,15.64,38.37
Cevennes,18.38,15.65,38.54
Cevennes,18.372,15.672,38.536
Cevennes,18.369,15.671,38.524
Cevennes,18.359,15.672,38.545
Cevennes,18.32,15.65028086,38.4860286
Cevennes,18.31,15.65,38.43
Cevennes,18.28,15.63,38.37
Cevennes,18.28,15.67,38.42
MontagneNoire,17.86,15.6,37.8
Cevennes,18.444,15.686,38.546
Cevennes,18.406,15.668,38.479
Cevennes,18.41,15.67,38.48
Cevennes,18.426,15.669,38.488
Cevennes,18.423,15.672,38.488
Cartagena,18.726,15.706,39.055
Cartagena,18.754,15.697,38.946
Cartagena,18.752,15.696,38.936
Cartagena,18.76,15.707,39.099
Cartagena,18.748,15.715,38.981
Cartagena,18.762,15.709,38.96
Cartagena,18.681,15.588,38.572
Cartagena,18.731,15.691,39.053
Cartagena,18.701,15.67,38.967
Cartagena,18.722,15.681,39.011
Cartagena,18.756,15.731595,39.17134332
Cartagena,18.774,15.76058526,39.1935411
Cartagena,18.765,15.708,39.11
Cartagena,18.753,15.693,39.064
Cartagena,18.724,15.64914472,38.89761208
Cartagena,18.725,15.66889275,38.9491235
Cartagena,18.73,15.6756989,38.9840601
Cartagena,18.722,15.66263798,38.93970058
Cartagena,18.732,15.66856872,38.97454848
Cartagena,18.713,15.65473441,38.92341426
Cartagena,18.729,15.65856774,38.94658092
SMLinares,18.283,15.613682,38.3705321
SMLinares,18.291,15.6241722,38.3763471
SMLinares,18.293,15.6277099,38.4134707
SMLinares,18.302,15.64821,38.4744644
SMLinares,18.263,15.6166913,38.3632578
SMLinares,18.248,15.6166384,38.3554712
SMLinares,18.231,15.6039129,38.3179158
SMLinares,18.262,15.6340982,38.3940288
SMLinares,18.224,15.6033888,38.3104928
SMLinares,18.273,15.6453426,38.4409101
SMLinares,18.239,15.6180557,38.3639126
SMLinares,18.241,15.62,38.465
SMLinares,17.975,15.399,37.816
SMLinares,18.244,15.6296348,38.3926736
SMLinares,18.185,15.584,38.319
SMLinares,18.2,15.597,38.311
SMLinares,18.203,15.599971,38.3118541
SMLinares,18.204,15.6026484,38.3048568
SMLinares,18.209,15.61,38.343
SMLinares,18.198,15.6011454,38.2995108
SMLinares,18.192,15.5960016,38.2832448
SMLinares,18.19,15.596106,38.284493
SMLinares,18.205,15.608967,38.3233455
SMLinares,18.192,15.5978208,38.2887024
SMLinares,18.203,15.6090725,38.3227759
SMLinares,18.199,15.6056425,38.3125348
SMLinares,18.211,15.6177536,38.3560082
SMLinares,18.224,15.629,38.408
SMLinares,18.211,15.6195747,38.3578293
SMLinares,18.204,15.6172116,38.3503668
SMLinares,18.201,15.616,38.443
SMLinares,18.258,15.671,38.525
SMLinares,18.258,15.67138914,38.52547548
SMLinares,18.242,15.646,38.423
SMLos,18.469,15.6358554,38.618679
