Region,Country,Group,Pb204/Pb206,Pb207/Pb206,Pb208/Pb206,Pb206/Pb204,Pb207/Pb204,Pb208/Pb204,Age,Mu,Kappa,Pb207,Pb206,Pb208,Reference
Roman object,Roman,Y,0.055020633,0.859422283,2.100357634,18.175,15.62,38.174,412.3741613,9.745672289,3.93212527,21.70378913,25.25392877,53.04228209,
Roman object,Roman,Y,0.055002475,0.856938562,2.095044277,18.181,15.58,38.09,332.0595312,9.58219521,3.868069024,21.68376223,25.3037536,53.01248417,
Roman object,Roman,Y,0.054427693,0.850051706,2.088445001,18.373,15.618,38.371,260.967539,9.688993689,3.904609638,21.58315138,25.39039828,53.02645035,
Roman object,Roman,Y,0.054963175,0.857645378,2.09695504,18.194,15.604,38.152,368.1654691,9.675796983,3.901595209,21.68728284,25.28700486,53.0257123,
Roman object,Roman,Y,0.054719562,0.854008208,2.092804378,18.275,15.607,38.246,313.2347304,9.667932798,3.899175812,21.63792147,25.33690106,53.02517746,
Roman object,Roman,Y,0.055047892,0.858526918,2.097049433,18.166,15.596,38.095,373.9589258,9.65051964,3.886494344,21.7042181,25.28076597,53.01501593,
Roman object,Roman,Y,0.054555374,0.851009274,2.087452264,18.33,15.599,38.263,256.3597891,9.623143429,3.868823386,21.60765736,25.390625,53.00171764,
Roman object,Roman,Y,0.054932982,0.857119314,2.09635245,18.204,15.603,38.162,358.7867288,9.669235463,3.899954013,21.68016785,25.2942239,53.02560825,
Roman object,Roman,Y,0.055002475,0.857378582,2.096034322,18.181,15.588,38.108,347.4369363,9.614421538,3.880722833,21.68704871,25.2946005,53.01835079,
Roman object,Roman,Y,0.054463265,0.849518,2.086705517,18.361,15.598,38.314,230.9659354,9.612227194,3.875165212,21.58205692,25.40506136,53.01288171,
Roman object,Roman,Y,0.054386251,0.849676402,2.088812748,18.387,15.623,38.407,260.1605784,9.705712151,3.91620145,21.57366364,25.39044699,53.03588936,
Roman object,Roman,Y,0.054501853,0.851318945,2.08971005,18.348,15.62,38.342,283.5535929,9.702727726,3.906488852,21.60143825,25.37408381,53.02447794,
Roman object,Roman,Y,0.05427703,0.847372992,2.083803734,18.424,15.612,38.392,210.9021686,9.653849073,3.879886056,21.55519965,25.43767604,53.00712432,
Roman object,Roman,Y,0.054484036,0.851149613,2.089680724,18.354,15.622,38.354,282.9164174,9.709319708,3.909601375,21.59823033,25.37536292,53.02640675,
Roman ingot,Roman,Z,0.054549422,0.851243727,2.08771547,18.332,15.605,38.272,266.5426219,9.646578462,3.874420344,21.61087953,25.38741708,53.00170339,
Roman ingot,Roman,Z,0.054424731,0.851039512,2.089746381,18.374,15.637,38.397,296.7499085,9.764607171,3.924448866,21.59568004,25.3756491,53.02867087,
Roman ingot,Roman,Z,0.0544781,0.850784485,2.08858139,18.356,15.617,38.338,271.7759182,9.688902073,3.897971684,21.59699078,25.38479623,53.018213,
